axis,speed_m_per_s,pair_scalar_shift_hz,pair_vector_shift_hz,pair_tensor_shift_hz,pair_scalar_plus_tensor_shift_hz,pair_total_shift_hz
x,3.0,-5446640.661006264,18767.094019421376,5446523.128529966,-117.53247629851103,18649.561543122865
x,3.125,-5446646.945205992,19549.458258721977,5446525.280252131,-121.66495386138558,19427.793304860592
x,3.25,-5446654.076799266,20331.261973736808,5446527.722287996,-126.35451127029955,20204.907462466508
x,3.375,-5446661.399148203,21112.938867750578,5446530.229675092,-131.1694731116295,20981.769394638948
x,3.5,-5446668.7219728455,21894.61576349102,5446532.737226985,-135.9847458600998,21758.63101763092
x,3.625,-5446676.044560941,22676.29279773496,5446535.244696926,-140.79986401461065,22535.49293372035
x,3.75,-5446683.676621316,23458.17473529745,5446537.858070666,-145.81855065003037,23312.35618464742
x,3.875,-5446692.05537699,24240.5510820793,5446540.726968284,-151.32840870600194,24089.222673373297
x,4.0,-5446700.434372198,25022.927569341846,5446543.595948875,-156.83842332288623,24866.08914601896
x,4.125,-5446708.813130858,25805.304195110686,5446546.464847518,-162.34828334022313,25642.955911770463
x,4.25,-5446718.201876778,26587.012498040684,5446549.679821627,-168.52205515094101,26418.490442889743
x,4.375,-5446727.616569266,27368.703313807957,5446552.903684573,-174.7128846924752,27193.99042911548
x,4.5,-5446737.031501288,28150.39427005872,5446556.1276304955,-180.90387079212815,27969.490399266593
x,4.625,-5446746.446433309,28932.08522631228,5446559.351576416,-187.09485689364374,28744.990369418636
x,4.75,-5446756.339141892,29714.09283703845,5446562.738993447,-193.60014844499528,29520.492688593455
x,4.875,-5446766.81308249,30496.48501600325,5446566.325281097,-200.487801393494,30295.997214609757
x,5.0,-5446777.287023088,31278.877194968052,5446569.911568746,-207.37545434199274,31071.50174062606
x,5.125,-5446787.898561889,32061.17862326,5446573.545013059,-214.35354883037508,31846.825074429624
x,5.25,-5446799.405856769,32842.88702098653,5446577.485437809,-221.9204189600423,32620.966602026485
x,5.375,-5446810.912431911,33624.594996511936,5446581.425613249,-229.48681866191328,33395.10817785002
x,5.5,-5446822.419726791,34406.3033942366,5446585.366037998,-237.05368879251182,34169.24970544409
x,5.625,-5446833.927261582,35188.011932695284,5446589.306545851,-244.62071573082358,34943.39121696446
x,5.75,-5446846.081916209,35970.14901050646,5446593.468429601,-252.61348660849035,35717.53552389797
