Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
1529.1253300188923,-2.7524107899220163e-34,-1.8029332447733584e-34,9.787890095161403e-36
1529.1253350189634,-2.7524746928138157e-34,-1.80296615381854e-34,9.787520359206693e-36
1529.1253400190344,-2.7525385988633283e-34,-1.8029990639142465e-34,9.787150566188872e-36
1529.1253450191057,-2.752602508061746e-34,-1.803031975055842e-34,9.786780716152278e-36
1529.1253500191765,-2.7526664204165673e-34,-1.8030648872470917e-34,9.7864108090469e-36
1529.1253550192475,-2.7527303359244204e-34,-1.8030978004861589e-34,9.786040844885552e-36
1529.1253600193186,-2.7527942545891816e-34,-1.803130714774944e-34,9.78567082363921e-36
1529.1253650193894,-2.752858176407477e-34,-1.803163630111609e-34,9.785300745320716e-36
1529.1253700194604,-2.752922101377747e-34,-1.8031965464952521e-34,9.784930609932501e-36
1529.1253750195317,-2.7529860295074935e-34,-1.803229463929638e-34,9.784560417424451e-36
1529.1253800196023,-2.753049960787905e-34,-1.8032623824101327e-34,9.784190167840926e-36
1529.1253850196736,-2.7531138952301087e-34,-1.8032953019423662e-34,9.783819861110855e-36
1529.1253900197446,-2.7531778328234806e-34,-1.8033282225207679e-34,9.783449497289096e-36
1529.1253950198156,-2.7532417735755258e-34,-1.8033611441491064e-34,9.783079076325574e-36
1529.125400019887,-2.7533057174828664e-34,-1.803394066825542e-34,9.782708598233149e-36
1529.1254050199575,-2.753369664547571e-34,-1.8034269905510413e-34,9.782338062993221e-36
1529.1254100200288,-2.75343361476989e-34,-1.803459915325635e-34,9.781967470597654e-36
1529.1254150200998,-2.7534975681500756e-34,-1.8034928411493557e-34,9.781596821038362e-36
1529.1254200201708,-2.7535615246865673e-34,-1.803525768021298e-34,9.781226114317693e-36
1529.125425020242,-2.7536254843832432e-34,-1.8035586959433628e-34,9.780855350406486e-36
1529.1254300203127,-2.7536894472294713e-34,-1.8035916249099776e-34,9.780484529359817e-36
1529.1254350203835,-2.753753413238204e-34,-1.80362455492771e-34,9.780113651095877e-36
1529.1254400204548,-2.753817382411507e-34,-1.8036574859975264e-34,9.779742715595995e-36
1529.1254450205258,-2.7538813547387465e-34,-1.8036904181138537e-34,9.779371722915219e-36
